CITY,SLUM_NAME,AREA,POPULATION,CTB,NO_OF_PEOPLE_USING_CTB,AVAILABILITY_OF_WATER,OPEN_SPACE,NO_OF_OPEN_SPACE, HOUSEHOLD_TOILETS,LAT,LNG
AIROLI,"SAMTA NAGAR, AIROLI",19846,3720,3,433,0.166666667,YES,1,119,19.166516,72.996122
AIROLI,"Airoli Naka Slum,AIROLI","18,972",2580,2,216,2,NO,0,209,19.165485,72.998319
AIROLI,"Chatrapati Colony,AIROLI",16804,1600,1,190,0,NO,0,107,19.163471,72.994391
AIROLI,"Chinchpada,AIROLI",144961,18895,10,1976,24,NO,0,1269,19.166043,73.002194
AIROLI,"Ganpati Colony,AIROLI",20183,870,0,0,0,NO,0,104,19.165654,72.996517
AIROLI,"Gavtewadi, Chinchpada,AIROLI",16693,1945,1,352,0.5,YES,1,5,19.171273,73.002481
AIROLI,"Sainath Wadi ,AIROLI",38262,5280,3,526,0.166666667,NO,0,433,19.165322,72.993124
GHANSOLI,"Ambedkar Nagar,GHANSOLI",167894,16456,1,699,0.5,NO,0,102,19.148704,73.003206
GHANSOLI,"Bhim Nagar,GHANSOLI",548790,57843,3,1517,0.5,NO,0,58,19.1447,73.004349
GHANSOLI,"Gautam Nagar,GHANSOLI",28245,4200,5,715,24,NO,0,8,19.146709,73.006091
GHANSOLI,"Nosil Naka,GHANSOLI",73403,11610,2,1667,24,YES,7,286,19.132704,73.001803
GHANSOLI,"Saibaba Nagar,GHANSOLI",60531,1591,3,973,24,YES,5,3,19.149856,73.006936
BELAPUR,"Durga nagar,BELAPUR",18762,1630,2,161,2,YES,3,0,19.036696,73.045014
BELAPUR,"Rahul Nagar,BELAPUR",4289,275,1,2,0,YES,2,0,19.023687,73.029352
BELAPUR,"Ramamata Ambedkar Nagar,BELAPUR",25008,2890,3,520,24,YES,1,1,19.031994,73.045407
Kopar Khairane  ,"Sambhaji Nagar,KOPAR KHAIRANE",23200,2725,2,401,0,NO,0,6,19.13905,73.016458
Kopar Khairane ,"Hanuman Nagar,KOPAR KHAIRANE",20300,2870,4,433,0.208333333,YES,1,25,19.11282,73.013925
Kopar Khairane,"Shramik Nagar,KOPAR KHAIRANE",17992,3710,3,70,2,YES,2,5,19.093832,73.022182
Digha,"Sanjay Gandhi Nagar,DIGHA",25298,3915,3,449,24,NO,0,69,19.173295,72.998019
